review_text,sentiment
best lip product ever! i recommend anyone and everyone to try this product. Makes my lip so hydrated and plump the nest morning. I bought this a year ago almost and it still not empty yet.,2
"I was hesitant to spend $20 on what might just be fancy vaseline but girl i was WRONG this stuff is legit. i actually enjoy putting it on before bed every night because it kinda melts with your body heat into a super silky, lightweight oil with zero stickiness and a very pretty glossy effect. i wake up with the plumpest, juiciest lips ever. to be fair, I have naturally full lips but I’m in my mid-30s and starting to show signs of aging, plus my lips are prone to dryness. It’s a subtle difference but I can see a more youthful appearance from using this. A little bit of product goes a long way and considering how much you need to use every night it’ll be a while before I need to restock so it’s $20 VERY well spent.",2
Ugh - I really wanted to love this. I was hopeful from the pictures and positive reviews. But it BURNED my skin. My cheeks got redder and redder after each use. I only used it twice until I realized what it was. Sadly have to return.,0
"I just received a sample of this today for my birthday gift and I absolutely LOVE IT!!! I put it on in the car before I drove home ( a 40  minute drive). Initially it felt very moisturizing but as I drove on, it seemed to ’set’ in a way - not sticky but lightly tacky, yet still incredibly moisturizing. Once I arrived home my lips still felt moist. Then I tried it a different way: I cleaned my lips, put a light layer on. Then I put on my ’go-to waterproof lip liner’ which can be a bit drying. I patted on a bit of this product on top which gave it a nice light gloss. After 1 hour, my lips still felt moist but not greasy, and my lipliner has not moved! This is a great product!!!!",2
Dr. Dennis Gross is a great product. As soon as I started using I noticed the difference on my skin. My pores are less visible and my completion is so radiant. I also am noticing my dark marks are clearing up. I would recommend this daily peel.,2
"It’s just OK. Nothing amazing or super special. Good to have on hand, but I wouldn’t go as far as calling it a “lip mask”. Probably won’t purchase again- especially for the cost.",0
"I was nervous at first because it’s a new product I had never tried, but after using my free sample a few times my skin was much more even toned than I ever expected. Plus, I had no irritation which is something I have to be careful about. I have already purchased for myself and got one for my sister! I’m so inlove with the alpha beta extra strength daily peel!",2
"Truly the best lip product I have ever used. I have incredibly dry, chapped lips almost constantly and since using this product, I’ve only had to worry about applying lip balm once or twice a day at most. #BeautyIndustryEssentials",2
Very smooth and not sticky. Seems to be helping my chapped lips.,1
I have purchased this multiple times with sweet candy being my favorite so far....I have tried so many different  lip masks and always come back to this! Amazing product!,2
I’ve used this at night with my Clarisonic brush and it’s helped so much! Working in a restaurant makes my oily sensitive skin really hard to deal with but this wash helps cleanse without irritation.,2
"I really liked this product - it smells/tastes nice, really hydrates my lips, and leaves behind a softness to them. A little goes a long way, and because it’s a thick product, I recommend using only a small bit. I feel like I’ve had the same container for a while and still not made a dent! It also works well during the day as a light chapstick/gloss.",2
"I’m in my 40s and I’ve tried so many different things and nothing ever made a difference until this peel came along.  I picked it based on the reviews .After 1 use (YES 1), I noticed a difference, my skin felt so smooth and soft!  After about a week, all the little bumps disappeared!!!  I asked my husband if he noticed a difference and he said my face looked “very flat“ ...that’s a guy for ya lol. Skin texture improved 100%I have now paired it with the Alpha Beta moisturizer which is also great.  I really don’t mind the price if the stuff actually works...AND IT DOES !",2
Finally its in sephora. I bought one of this on the laneige website. Its the bomb it keep my lips moist..,2
"I applied this to my chapped lips after hopelessly using other balms, and woke up with soft perfect lips. I couldn’t believe it. Great product, soft with great results.",2
"I never write reviews, but this oil is amazing! I purchased the mini 2 or three weeks ago but you start noticing the difference after just a few days. I have sensitive acne-prone skin, it’s usually oily but acne cream dries out my skin so I now have combo skin super dry around my mouth area. This is super hydrating to use at night under my moisturizer and acne cream. My pores are incredibly smaller and my skin looks so smooth and soft I never thought someone with such troublesome skin could get skin that looked so good! If you’re on the fence, try it out. When I first bought it I tried it under Kosas oil foundation which I also just purchased, but the makeup pilled a bit. So might not be the best under makeup unless you have a lot of time to let oil absorb before you start makeup- but great for night time skin care or morning if you don’t wear makeup, makes skin look airbrushed.",2
"This has singlehandedly changed my skin! Dark spots from pimples have all but completely faded, and what is left of them is hardly noticeable. My skin is SO SOFT, and looks visibly less textured. I don’t wear makeup up at all anymore. Definite recommend!!",2
"First this might be a premature review since I’ve only used this product one night but it is by far the best lip mask I have used. I am naturally obsessed with farsali stuff so when I saw they had a lip mask I of course had to try it. Well let me say it’s not that good every night when I would put it on it always had really dry feeling to it even putting on, and every morning when I would wake up my lips would be chapped and cracking. With Laneige, I noticed instantly that the consistency of the lip mask was almost the same as vaseline which worried me a bit because that also dries up and chaos my lips. So I put it on and it was super smooth and it smells so good . This is the best lip sleep mask I have ever used.... I woke up in the morning and my lips felt hydrated and looked beautiful... it even cleared up a patch of dry skin I had on the sid of my lip. Totally recommending this product!!!",2
Nice ’grape’ scent.  I noticed changes after 2 days of use.  Very happy with this product and the container should last a very long time (I intend to use it every other day).,2
"My favourite lip balm, I use it as a gloss on top of a lip colour! It is so moisturizing! I love it!",2
"let me tell you why it’s so worth it. I got a nice sample and these are my thoughts. Ever since I was a child I had this split lip that scarred terribly and reopens anytime my lips are even a little dry. When this happens and the scar tissue reopens, it hurts a lot. It makes a lot of things unbearable for me because if anything got in the wound it would sting. I’ve tried multiple brands of chapstick, aquaphor, oils. Nothing. My lips would still split when I would wake up in the morning. This however, changed all that for me. I figured it can’t hurt and wow. Day 3 and not only is my wound closed, my lips aren’t dry even in the slightest. I slathered this stuff on before I went to bed too. I made sure to get the really bad parts of my lip and wow. Just wow. I’m in no pain anymore and my lips are so soft. It’s healing on top of it. If anyone has similar experiences like I do get this, it’s so worth it to not be in pain I’ll pay the $20. Plus it LASTS. The sample I have still has a ton.",2
"I’ve used a ton of lip treatments and this product is the best! Let’s just say they used to call me chapstick girl back in my prime. That sounds like an oxymoron, but really- I was a Bonne Bell poster child and 5th grade was really my peak. Anyways, this lip mask is amazing and completely worth it. I’ve used the berry flavor every night for a couple months now and the containern still looks nearly full. Definitely worth the price.",2
Absolutely love this sleeping mask! My lips get extremely dry during winter and nothing makes me lips more plump than this mask. The berry smell is a bonus.,2
Makes your lips super soft!! I’ve tried so many other lip masks and always go back to this one.,2
I’m in love with this mask! My lips feel so moisturized and supple in the morning! I recently got the Bite Beauty Nighttime mask and it’s not even close to being as good as this one. Definitely going back to it.,2
"Its a great for removing a full face of makeup! it won’t take everything off in one go but I don’t expect anything to get EVERYTHING off in one face wash. The scent didn’t bother me at all and it even removed my mascara as well. My face felt truly clean and makeup free! The only downside for me with this cleanser is that it’s in a tube, I would prefer if this was in a pump as they’re more hygienic, but overall I will rebuy this again when I use it all up.",2
"Waited to write this until I finished the jar. Really confused about the raving reviews from everyone ... within an hour after applying my lips feel chapped and I need to reapply. Packaging is pretty, like the applicator and it smells great. But as for its actual purpose, there are way better lip masks out there.",0
"I don’t write reviews unless I have a really positive or negative experience, and I don’t understand hype around this at all. I wanted to love this after reading the reviews. I used it nightly for two months. I stuck with it, thinking maybe it just took some time.. it’s not cheap, I wanted to give it a shot. If anything my lips are worse. My upper lip in particular gets so dry and sensitive with this. Literally Vaseline would have been better. Save your money and your lips.",0
I love everything laneige and this is no exception. Living in the Midwest in the winter this has literally SAVED my lips from being cracked and sore all winter!,2
"LOVEEEEE this product!! I honestly thought it was just another overhyped product but decided to try it anyways, and I was beyond surprised with how much I loved it. I could honestly tell that there was a big difference in how soft my lips were within the first day of using the product, it makes them so soft. I was also really happy with how it looks on, it looks like a gloss when it’s on and numerous people have asked me which “gloss” i’m wearing. Will defiantly be repurchasing!",2
10/10 I recommend this so much.!!! I was dehydrated and chapped and this gave my lips a complete transformation.!!! I use a decent amount at night and i use a thin layer during the day in place of chapstick.,2
I was so excited about finally trying this but sadly it got returned after about a week :( my lips weren’t dry to begin with but I thought this would be a good nighttime balm. it sucked every ounce of moisture from my lips and I’m still trying to recover.,0
"I use this product every single night for quite a bit of time already. Putting it generously all over my lips and it actually doesn’t do any work for me.. I think to be honest opposite - that my lips are getting dryer and dryer every single day. I don’t know how this is even possible, but it is true.. doesn’t work for me at all. Will definitely not re-buy it!",0
Received this in my birthday gift and I’m absolutely in love!! Feels so smooth while on and stays on all night. Fun to use as well. My new favorite part of getting unready at the end of the day. My lips feel so smooth and soft during the day!,2
"This lip balm feels great when it’s applied and it makes the lips look nice when it’s on, but it disappears so quickly and leaves my lips still feeling dry when it’s gone. If you’re looking for a lip conditioner that actually stays for hours and makes your lips look just as good but feel even better, try the Aerin Rose lip conditioner, I prefer that one if I’m paying this much for a lip balm.",1
"For weeks my lips were very dry and flaky. I was prompted to buy this product because the lip mask I was using wasn’t helping my dry lips at all. I’m so happy I bought this lip mask. It’s smells so yummy but more importantly, it’s cured my dry lips! I love the formula because it’s creamy, not sticky. I apply it before bed. My lips are smooth and hydrated the following morning!",2
"You guys, this has transformed my skin. I have combo, dehydrated, red-ish skin and I have acne scarring on my cheeks. I purchased the 30+5 peel pads, and about 10 days of the pads left and my acne scars have shrunk so much! I am honestly so shocked and emotional because I haven’t found something work so well in a while. I am going on 30 in a few years and i’ve battled with acne scarring for so long. Ive tried many chemical exfoliants such as the Drunk Elephant one (I find this one better for preventing acne flare ups and evening skin tone). These peel pads are perfect for you if you have PIH or PIE that you want to get rid of. I will report back in a month after my 2nd box is done but don’t hesitate in trying this if you want to change your skin for the better!",2
I have been using these pads for a about a week and love how much smoother my cheeks feel this is my most problematic area on my face due to past acne flare ups the daily pads brighten my scars and face its not like massive but I can see that its working and intend to keep using it,2
"Love this night time lip mask!! It nourishes my lips more than lip balms could ever do. Holy grail for dry chapped lips!!! Use this over night, don’t even need to use lip balm in daytime. Not sticky. I use this probably every other day, my lips don’t get too dry normally anyways! Plumping? Not really see any plumping as it says it on the back. Taste? Nothing! Smells amazing",2
